bvid,title,author,typename,cluster,play,like,coin,favorite,share,danmaku,reply
BV1Fz4y1f7Wc,【360° VR】用比光速更快的速度逃离太阳系,おとめめめめめ,科学科普,2,5547933,362269,146889,270041,97909,57843,7131
BV1DD4y1R71L,《蛊》,翠花不太脆,原创音乐,2,9348067,556640,337696,252034,71106,12040,16332
BV11T4y1c74B,冲,小潮院长,搞笑,2,13451136,765834,401386,131824,11809,29403,5541
BV1jT4y1w7En,【动画】闰土与猹的世纪之战，引发了课本宇宙的时空错乱,王不病,同人·手书,2,4363580,477313,364227,197396,41088,11359,4861
BV1JZ4y157R1,使命怎么又在召唤,-星辰菌-,鬼畜剧场,1,20947158,1316500,1028024,578005,216578,126860,6514
BV1Tk4y1C76H,一线游戏从业者，背刺《原神》，黑红路，能走多远？,韩立_生命山CEO,社科·法律·心理,2,1870369,190300,238144,75359,32521,54045,34862
BV1RV41117ii,刻在DNA里的那些动漫台词跟场面，你知道多少？,-影子a,MAD·AMV,2,6050206,445986,343221,286989,19941,34753,5940
BV1554y1k7DN,【原神】外 乡 人,不死な千咲,手机游戏,2,9887092,511710,383725,236782,75451,39653,8773
BV1554y1k7DN,【原神】外 乡 人,不死な千咲,手机游戏,2,9887092,511710,383725,236782,75451,39653,8773
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,流萤Zz,手机游戏,0,3969830,180583,75420,157453,25593,6441,3417
BV1FT4y1w75Z,【原神】阴间成就攻略，后期无法完成！3分钟8个隐藏成就合集攻略指南 【持续更新】,流萤Zz,手机游戏,0,3969830,180583,75420,157453,25593,6441,3417
BV1tV41127CQ,3个诀窍让你全天不困，沾床就睡 | R90高效睡眠法，失眠人士必看,若灵心理,社科·法律·心理,0,2070613,126706,78996,130041,23821,6704,3352
BV18D4y1R7XU,【全程高能】UP被骗子盯上，反手就骗了骗子一块钱！,慕容晋辉,搞笑,2,6853932,574449,202740,115216,91513,30339,9209
BV1Z5411j7e7,爷 很 萌,花少北丶,单机游戏,2,10110805,472668,232031,107929,63299,36021,11396
BV1hv411C7jk,这是个音乐游戏？？,哦呼w,鬼畜调教,1,13808021,1392769,1349746,489749,107897,20262,7874
BV1wK411A7pY,一条活鱼三斤半，搓出鱼丸不足...,绵羊料理,美食制作,0,6529826,430408,239761,46003,10313,9994,3712
BV1Py4y1r7FL,一百万的已婚牌子还能这么玩,音乐制作人Kurt,演奏,0,3614119,405491,262960,73050,12556,7548,4205
BV1Qp4y1a7VJ,你管这叫只踩一点点？ 我一拳打飞一幕幕的回忆散在月光,战场ヶ原-,MAD·AMV,0,2017657,147321,115294,81005,6663,3272,1337
BV1BA411J7FP,每天一遍，防止早恋！,bili_42448991,影视剪辑,1,21782217,1066587,573772,455517,56209,38743,7769
BV1tZ4y1L7SK,【芜林外传】经典折磨,桥北小书生,鬼畜剧场,0,4383188,268291,183672,83171,60562,3602,2188
BV1ga4y1L7of,骁话一下：东北复兴，出路不在歌声里,观察者网,社科·法律·心理,2,2997610,206991,110919,45531,30594,40220,15885
BV1pV41127wk,知道什么叫神仙撩裙摆吗? Julien Fournié了解一下,会唱跳Rap的胖虎,时尚潮流,0,3965584,298279,100609,226186,40124,6216,2097
BV1Kk4y1C7zA,史上最骚解说：在CCTV5看倚天屠龙记是什么体验？（二）,Super也好君,搞笑,0,4242860,263871,168098,46820,40081,11660,2760
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV14f4y1B72G,BLACKPINK最新回归曲Lovesick Girls练习室+打歌舞台合集(更至201028一位),pcyxjy,明星舞蹈,0,2057099,63510,12056,44396,17646,11559,3215
BV1Xa411w7HU,被忽视的设计：中文字体 - oooooohmygosh,oooooohmygosh,野生技能协会,0,1631142,197050,160471,97101,15894,3556,2364
BV1yp4y1a7VG,跨次元无缝衔接！看完之后世界都惊呆了！,伍六_七,MAD·AMV,2,8493995,747859,750457,407141,40570,12538,6732
BV1Vy4y1C7gj,一只小黄狗从小到大的样子,龙馍馍,动物二创,0,4777293,362068,65797,60824,19842,7564,8266
BV18p4y1Y7ZF,这动画主角是个屁【阅片无数动漫篇12】,凉风Kaze,动漫杂谈,0,3868525,351476,111899,26531,4273,29685,3940
BV1At4y1i7Xw,【声优搞事】派蒙：香菱不可以！（填词翻唱~),多多poi丶,配音,2,6446429,386816,235332,171209,50828,5777,4194
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1x54y1k7vy,没有剧情？一口气看完王者荣耀世界观！,阿狸波波233,电子竞技,0,2501672,142170,99246,107097,13580,21531,3294
BV1Bf4y1B75c,【苏星河】iPhone改变了世界，而它改变了iPhone,苏星河牛通,软件应用,0,2286507,145593,125985,92251,39753,6901,4609
BV1Yi4y1j7Us,《明日方舟》EP - 秋绪,明日方舟,原创音乐,2,5581099,263008,153545,149641,46882,7090,11046
BV1Af4y1Q7gS,Pay to Win！网游和手游如何榨干你的钱包？游戏氪金的演变与探讨。,智能路障,网络游戏,0,1153809,118918,130775,39307,11676,32320,8009
BV14y4y1k71x,张伟辩护，死刑起步,红豆稀饭中,鬼畜调教,1,29744050,1828011,821260,597603,146823,29689,6439
BV1qV41127fM,这动画也太搞笑了！2020十月新番吐槽大盘点（第二弹）,LexBurner,动漫杂谈,0,4875291,405115,196243,59225,9584,18923,0
BV1Fz4y1f7Mk,【切勿模仿】渣女宝典,盖世猪猪丶,配音,2,8882602,482106,146883,90371,112624,9744,2820
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,疯子啊滨,手机游戏,1,13538315,578318,641800,408322,141819,37145,10331
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,疯子啊滨,手机游戏,1,13538315,578318,641800,408322,141819,37145,10331
BV1e54y1C7de,原神风神瞳位置大全！超详细的位置视频【啊滨】,疯子啊滨,手机游戏,1,13538315,578318,641800,408322,141819,37145,10331
BV1wk4y1y7FM,情 场 高 手,仙道居士,鬼畜调教,0,4024574,327714,158672,81622,36897,5303,2406
BV1KA41177Ap,不会真的有人买吧！这些神级手办你见过吗？,张恩恩NNN,出行,2,2924164,155541,85869,42333,7556,24196,10738
BV1HD4y1d7UK,这是一个逆天级的游戏彩蛋！佛祖看了想落泪！,好运的鱼,单机游戏,2,5155692,468913,526121,150158,17924,16525,5345
BV1ut4y1i7aH,OPPO S10非官方主题曲《英雄登场-Be the Legend》,OPPO,电子竞技,0,4634427,166822,104967,72384,42349,10062,7472
BV1ET4y1c7KB,“天价彩礼”背后折射的是一群人的“枉为父母”【天降说】,天降呦呦,社科·法律·心理,2,1857712,143020,106037,39359,11086,18574,12625
BV1ot4y1v78B,一个人，造出人类最强爆炸艺术！,狂阿弥_,影视杂谈,0,2144019,177837,144251,56968,23726,8144,2551
BV1VT4y1w7rm,“读评论”被女朋友问到送命题是什么反应,记录生活的蛋黄派,美食记录,2,6503729,693788,123187,30121,4368,44147,4783
BV15Z4y157ZK,如何回怼 “你都多大了，还看动画片”！,可恶的逗皮酱,配音,0,1666412,123011,59673,44883,8255,4444,5134
BV1HT4y1w7HX,【丰收季】一年忙忙碌碌，为的就是谷物满仓的踏实感,李子柒,田园美食,0,3654596,265257,146988,25798,11552,41641,6188
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",taerubykim,音乐现场,2,6543824,118001,20952,94524,38705,60598,6201
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",taerubykim,音乐现场,2,6543824,118001,20952,94524,38705,60598,6201
BV1ua4y177Gq,"BLACKPINK新曲""Lovesick Girls""现场合集持更（更至201125 Tokopedia活动）",taerubykim,音乐现场,2,6543824,118001,20952,94524,38705,60598,6201
BV1Yt4y1v7cC,父亲写的散文诗,广西吴恩师,翻唱,0,3809434,276848,256137,71462,22779,8148,6349
BV1NT4y1w776,【搞笑丧尸片】鲲山行（70分钟完整版） 卢本伟&茄子&周淑怡 等领衔主演,浅澄月,鬼畜剧场,1,7975235,564169,488699,311743,123784,132398,6480
BV1gt4y1i7V9,走完同一条街，回到两个世界。,在下豆子君,人力VOCALOID,0,6868358,260139,77746,84534,17480,7008,5560
BV1Rp4y1r7FA,军校有rap！《滚烫》听听看,国防科技大学,原创音乐,0,1683092,174159,158640,75500,25756,6044,2115
BV1Ur4y1c75J,摆摊把666只乌龟卖了，金额随便付，最高有人付一千！,大胡子魏,搞笑,0,3044447,255952,182835,21387,3840,7110,3865
BV1oK411P7JU,大概全站的人都会被推送到这个视频吧！,小米酱会发光,MAD·AMV,1,12301892,1281079,1108356,677753,43992,84495,14094
BV1op4y1a7aA,十年后，他应该会想删掉这段表演。,奥运会睡不醒冠军,日常,0,6036357,296722,42731,73847,48387,11701,5412
BV1154y1k7kT,上海“名媛”群大赏,G僧东东,搞笑,2,4381600,260563,82372,31405,42022,12975,9385
BV1ff4y1D7VD,这是他生前最后一句话...,刘拖地,配音,0,3641989,279605,117083,27806,5221,6084,1384
BV1Mt4y1i7TH,【原神】锄大地路线图+捡圣遗物路线图，突破材料/金币/圣遗物狗粮+丘丘人灭绝计划,卡特亚,手机游戏,0,1309627,69047,51509,54221,14106,2236,2096
BV1Mt4y1i7TH,【原神】锄大地路线图+捡圣遗物路线图，突破材料/金币/圣遗物狗粮+丘丘人灭绝计划,卡特亚,手机游戏,0,1309627,69047,51509,54221,14106,2236,2096
BV1di4y1E7h4,科目二免费教学！,中国BOY超级大猩猩,单机游戏,0,2855782,217353,71202,25193,2576,31613,2321
BV1Q54y1k7o4,【半佛】彩礼问题的核心矛盾与现实。,硬核的半佛仙人,财经商业,2,3050559,163442,68645,31645,29793,13010,12164
BV1qZ4y157We,【原神手书】丘丘人：火之神神乐,SHL超级大鸽子,同人·手书,0,2767001,184543,95613,58242,51649,6421,2617
BV1qZ4y157We,【原神手书】丘丘人：火之神神乐,SHL超级大鸽子,同人·手书,0,2767001,184543,95613,58242,51649,6421,2617
BV19f4y1D7UB,刻入你DNA的中二台词  万恶之源,火梦影,MAD·AMV,0,1718716,141202,63241,62845,5458,12074,7578
BV1sK411N79Q,什么情况？女友带着她弟弟整我？！,啊吗粽,出行,0,2475395,240522,81962,20099,2153,23458,2295
BV1Nf4y1B76o,【刘谦魔术课】只要一副牌，魔术随手来！One ahead principle！,刘谦,明星综合,0,3214182,184399,93609,42992,15179,11008,3929
BV1yt4y1v7Qs,为什么日本那么多匠人？十六代目店主继承550年老铺的原因竟然是......,纳豆奶奶,日常,0,1614612,160193,85931,18295,2016,9588,7470
BV1CK4y187jZ,教你如何每日快速获取必需热门材料（一）水晶矿篇,老沐ocean,手机游戏,0,827096,49420,37933,55570,6025,1188,1043
BV1ek4y1C7yX,散光恢复训练，看完眼睛舒服多了！,癸大有,日常,0,2515799,58190,28869,112328,8096,411,1719
BV1ca4y1L7oC,【正片】硬核还原：“激光制导+钢针攻击”魔鬼司令,喵咪的哥哥,极客DIY,0,1594678,112339,101149,26673,18388,4067,2668
BV1Rk4y1C7QY,原神 如何笔直的飞行,在此空大真君,手机游戏,0,2973746,91446,26318,47856,46327,2864,2134
BV1YV41117qd,犬来八荒  |  阿狗上山,犬来八荒w,明星综合,0,1565528,148767,76558,26716,7673,10582,5891
BV1Ka4y1L7sf,探险大师老番茄,老番茄,单机游戏,0,4365864,241545,47953,20006,2539,11391,3638
BV1PV411y7Ae,自制便便称重马桶,手工耿,手工,2,3506669,269249,65207,12293,34551,21538,10640
BV1dA41177wu,在马路中间捡到了一只生病受伤的小边牧，它后来怎么样了,边牧coffee的一家,汪星人,0,3824008,251718,246055,23630,6131,5232,2707
BV1pA41177Ya,无人能撑住一分钟，30秒不投币！算我输！！！,爱睡觉的_Koala,影视剪辑,0,4101710,188129,67706,45691,3874,5767,1710
BV1FV41127fq,盛兴而来 悻悻而去,卧龙寺,日常,0,2517804,71578,6828,41033,11347,701,1949
BV1dv411C7ZM,我俩儿子用不着你操心,Go吧航,搞笑,0,3990992,133368,5463,29794,17851,600,1359
BV1fa4y157Du,【酱香饼】摊主看了直呼内行，重金买来的酱香饼配方就这样公开！,我的样子平平无奇,美食制作,0,2496521,162236,94208,45639,6868,10145,2229
BV1Ct4y1q7Te,这个世界比以往更需要我们，献给我所深爱的守望先锋。——《Heroes》,夏一可,电子竞技,0,797320,76920,72521,24156,6190,2477,3066
BV1ND4y1d75C,【暴走大事件】第七季 预告片刚做好！给大家看看！,暴走漫画,搞笑,0,1102849,123290,74436,67,8470,6021,4056
BV1P541187VD,前方帅爆！！当我出手的那一刻！世界将就此泯灭！！！,烟季,MAD·AMV,2,8471982,603585,428449,317836,28351,14524,4785
BV1AA411E7CA,耿爽：今天只有一个意思，美国才是最大威胁。,共青团中央,热点,0,2512455,206086,30237,21552,13617,6294,5710
BV13K4y1h7ud,【萌新原神说】原神看板娘竟然是公的？？还是个神明？？,萌新二次方,网络游戏,0,2720249,153350,31607,30978,20151,7653,4212
BV1Ey4y1C7ci,你听过「蟹老板的心跳」吗？,脑电工,美食制作,0,1684740,90564,30311,20592,4232,2027,1699
BV1dp4y1r74q,福尔摩斯：华生今晚不在家，我们可以....,逗比的雀巢,同人·手书,0,5252326,259173,47207,26775,4679,3247,2347
BV1Za411w7bR,小 母 牛 歇 后 语 大 全 1.0 ！！！,三十六贱笑,配音,0,1308319,102520,37597,31319,24856,2793,1470
BV1n54y1k7cG,国庆节带熊孩子去钓鱼，没想到钓起了10斤作业！,东尼ookii,搞笑,0,3272399,250253,51309,14797,5744,23238,2579
BV1Q541157rc,华农兄弟：上山一趟，发现不少野果，有些已经十几年没吃过了,华农兄弟,三农,0,2403447,187073,72081,10439,4521,33919,4081
BV1cD4y1d7Fu,大概全站的人都会被推送到这个视频吧！,二代二代,MAD·AMV,0,2536286,220208,104717,107668,4363,3182,2171
BV1hD4y1d7L2,【罗翔】二奶是男的不算重婚罪？你发现了盲点。读评论#3,罗翔说刑法,社科·法律·心理,0,3247251,298203,56158,17456,10272,21648,6496
BV1ja411A7py,无头up主？众筹290万粉丝买个头……,二喵的饭,日常,0,1834276,196045,115191,16901,913,8923,2962
BV15v411k7M4,从木头里取出一只长腿手办,卢正义的雕刻时光,手工,0,2415194,229065,112559,15846,1727,6410,2692
BV1rv41117Pb,杀死拖延症的最快方法！我做事比喝水都快 | 逼你自律,杨真直,校园学习,0,2519968,169750,90071,126048,14883,9743,3198
BV1Hh41197xu,【中华小子】爷青回！十三年后的回归，中华小子后续有望？！,中华小子同人站,同人·手书,0,1517422,114241,37881,22746,6276,9426,4983
BV1DK411P7Yr,【原神】超简单设置派蒙跟随.可爱滴神~,故漫,单机游戏,0,1948431,95140,28916,30459,14522,1698,2810
BV1fz4y1d7hT,读       评       论,老坛胡说,日常,0,2195603,278518,32747,11775,1263,27778,2724
